pert_iname	pert_id	at how many doses the perturbagen has dose specific responses	"dose,pvalue"					
quercetin	BRD-K97399794	5	"0.0411523um,0.0026"	"0.123457um,0.0"	"0.37037um,0.0109"	"1.11111um,0.0"	"3.33333um,0.0024"	"10um,0.0014"
brefeldin-a	BRD-A31107743	4	"0.045679um,0.1885"	"0.137037um,0.0395"	"0.411111um,0.0003"	"1.23333um,0.0"	"3.7um,0.0"	"11.1um,0.0"
sirolimus	BRD-A79768653	3	"0.0411523um,0.0948"	"0.123457um,0.0471"	"0.37037um,0.0133"	"1.11111um,0.0038"	"3.33333um,0.0"	"10um,0.0"
troglitazone	BRD-A13084692	2	"0.0411523um,0.0"	"0.123457um,0.0057"	"0.37037um,0.0806"	"1.11111um,0.166"	"3.33333um,0.1368"	"10um,0.0716"
homoharringtonine	BRD-K76674262	2	"0.0411523um,0.4214"	"0.123457um,0.8201"	"0.37037um,0.8993"	"1.11111um,0.2898"	"3.33333um,0.0074"	"10um,0.0096"
silibinin	BRD-K80353138	1	"0.0411523um,0.0006"	"0.123457um,0.0255"	"0.37037um,0.1503"	"1.11111um,0.7385"	"3.33333um,0.7317"	"10um,0.7685"
tanespimycin	BRD-A61304759	1	"0.0411523um,0.9827"	"0.123457um,0.8278"	"0.37037um,0.8448"	"1.11111um,0.44"	"3.33333um,0.0264"	"10um,0.0"
daunorubicin	BRD-A68009927	0	"0.0411523um,0.9551"	"0.123457um,0.9754"	"0.37037um,0.9112"	"1.11111um,0.6894"	"3.33333um,0.6376"	"10um,0.2722"
cucurbitacin-i	BRD-A28105619	0	"0.0411523um,0.0167"	"0.123457um,0.2364"	"0.37037um,0.1802"	"1.11111um,0.1771"	"3.33333um,0.2942"	"10um,0.1102"
alvocidib	BRD-K87909389	0	"0.0411523um,0.2778"	"0.123457um,0.2605"	"0.37037um,0.3453"	"1.11111um,0.6625"	"3.33333um,0.0266"	"10um,0.3816"
epigallocatechin	BRD-K55591206	0	"0.0411523um,0.4128"	"0.123457um,0.1203"	"0.37037um,0.1704"	"1.11111um,0.3111"	"3.33333um,0.0946"	"10um,0.1132"
BRD-K05649647	BRD-K05649647	0	"0.0411523um,0.6674"	"0.123457um,0.8485"	"0.37037um,0.7073"	"1.11111um,0.6565"	"3.33333um,0.733"	"10um,0.7813"
silybin a-4''-o-beta-d-glucuronide	BRD-K11403764	0	"0.0411523um,0.1811"	"0.123457um,0.159"	"0.37037um,0.0749"	"1.11111um,0.0827"	"3.33333um,0.2584"	"10um,0.3951"
arbidol	BRD-K73881242	0	"0.0411523um,0.8183"	"0.123457um,0.7893"	"0.37037um,0.7444"	"1.11111um,0.6916"	"3.33333um,0.7796"	"10um,0.7971"
TPCA-1	BRD-K51575138	0	"0.0411523um,0.7794"	"0.123457um,0.9407"	"0.37037um,0.7467"	"1.11111um,0.6097"	"3.33333um,0.6369"	"10um,0.5653"
GSK-2126458	BRD-K42918627	0	"0.0411523um,0.8395"	"0.123457um,0.8096"	"0.37037um,0.7177"	"1.11111um,0.8244"	"3.33333um,0.9322"	"10um,0.749"
silydianin	BRD-K68525401	0	"0.0411523um,0.5856"	"0.123457um,0.8999"	"0.37037um,0.6927"	"1.11111um,0.7351"	"3.33333um,0.6859"	"10um,0.8091"
isosilybin a-7-o-beta-d-glucuronide	BRD-K94588743	0	"0.0411523um,0.5724"	"0.123457um,0.072"	"0.37037um,0.1266"	"1.11111um,0.4906"	"3.33333um,0.2893"	"10um,0.3989"
isosilybin b-4''-o-beta-d-glucuronide	BRD-K48438698	0	"0.0411523um,0.6368"	"0.123457um,0.5753"	"0.37037um,0.3541"	"1.11111um,0.5384"	"3.33333um,0.4564"	"10um,0.8931"
jg-98	BRD-U06877554	0	"0.0205761um,0.6584"	"0.0617284um,0.8516"	"0.185185um,0.7447"	"0.555556um,0.6926"	"1.66667um,0.8474"	"5um,0.9182"
taxifolin	BRD-K94649603	0	"0.0411523um,0.5789"	"0.123457um,0.5837"	"0.37037um,0.259"	"1.11111um,0.4785"	"3.33333um,0.2367"	"10um,0.2762"
PD-198306	BRD-K88677950	0	"0.0411523um,0.2574"	"0.123457um,0.4818"	"0.37037um,0.612"	"1.11111um,0.7908"	"3.33333um,0.3029"	"10um,0.0813"
BMS-387032	BRD-K43389698	0	"0.0411523um,0.8774"	"0.123457um,0.8661"	"0.37037um,0.7506"	"1.11111um,0.4754"	"3.33333um,0.4041"	"10um,0.3723"
oligomycin-a	BRD-A81541225	0	"0.0411523um,0.9206"	"0.123457um,0.9047"	"0.37037um,0.8234"	"1.11111um,0.5862"	"3.33333um,0.0725"	"10um,0.0335"
AG-957	BRD-K36737713	0	"0.0411523um,0.7787"	"0.123457um,0.629"	"0.37037um,0.7322"	"1.11111um,0.7975"	"3.33333um,0.7736"	"10um,0.7621"
withaferin-a	BRD-K88378636	0	"0.0411523um,0.323"	"0.123457um,0.5598"	"0.37037um,0.4282"	"1.11111um,0.9671"	"3.33333um,0.9028"	"10um,0.5398"
isosilybin b-7-o-beta-d-glucuronide	BRD-K31062320	0	"0.0411523um,0.0195"	"0.123457um,0.155"	"0.37037um,0.3895"	"1.11111um,0.1634"	"3.33333um,0.3511"	"10um,0.2729"
"silibinin-2',3-dihydrogensuccinate sodium salt"	BRD-A41316391	0	"0.0411523um,0.7589"	"0.123457um,0.6267"	"0.37037um,0.7532"	"1.11111um,0.3781"	"3.33333um,0.7004"	"10um,0.859"
CD-1530	BRD-K25737009	0	"0.0411523um,0.8598"	"0.123457um,0.8294"	"0.37037um,0.9434"	"1.11111um,0.8589"	"3.33333um,0.6703"	"10um,0.7201"
vorinostat	BRD-K81418486	0	"0.0411523um,0.7197"	"0.123457um,0.7298"	"0.37037um,0.7184"	"1.11111um,0.8091"	"3.33333um,0.9091"	"10um,0.9674"
WYE-125132	BRD-A45498368	0	"0.0411523um,0.9974"	"0.123457um,0.8682"	"0.37037um,0.5841"	"1.11111um,0.2004"	"3.33333um,0.0397"	"10um,0.0312"
isosilybin a-4''-o-beta-d-glucuronide	BRD-K53103368	0	"0.0411523um,0.0387"	"0.123457um,0.2133"	"0.37037um,0.423"	"1.11111um,0.8082"	"3.33333um,0.6789"	"10um,0.6274"
acadesine	BRD-A81585303	0	"0.0411523um,0.8895"	"0.123457um,0.7217"	"0.37037um,0.2847"	"1.11111um,0.0731"	"3.33333um,0.5004"	"10um,0.9708"
thapsigargin	BRD-K69023402	0	"0.0411523um,0.7663"	"0.123457um,0.637"	"0.37037um,0.2438"	"1.11111um,0.1664"	"3.33333um,0.2589"	"10um,0.4073"
silychristin	BRD-K16389764	0	"0.0411523um,0.5694"	"0.123457um,0.2772"	"0.37037um,0.6612"	"1.11111um,0.933"	"3.33333um,0.7106"	"10um,0.8153"
LDN-193189	BRD-K04853698	0	"0.0411523um,0.804"	"0.123457um,0.2583"	"0.37037um,0.1827"	"1.11111um,0.1833"	"3.33333um,0.8966"	"10um,0.7697"
metformin	BRD-K79602928	0	"0.0411523um,0.1912"	"0.123457um,0.5747"	"0.37037um,0.7976"	"1.11111um,0.7075"	"3.33333um,0.8502"	"10um,0.7696"
BRD-K97808269	BRD-K97808269	0	"0.0411523um,0.867"	"0.123457um,0.8637"	"0.37037um,0.8833"	"1.11111um,0.9852"	"3.33333um,0.8353"	"10um,0.9282"
